"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","7370","fullscreen","0","null","8387","p97lbxy42mx","","","","","","","","","","","","","","",""
"","26067","html-keyboard-response","1","2.0.0","34456","p97lbxy42mx","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","2469","survey-text","2","2.0.0","36931","p97lbxy42mx","","","","{""participant_id"":""cheetah""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","37199","p97lbxy42mx","","","","","false","[]","[]","[]","","","","","","",""
"","83807","survey-text","4","2.0.0","121022","p97lbxy42mx","","","","{""image_description"":""flat bottom with two lines going up right that then on the left makes a point like a triangle goes back up slightly shifts to a trapezoids end and goes down (moving to the right now) forming an outline of a triangles and ends with that line mentioned previously\n""}","","","","","stimuli/34.jpg","easy","NaN","flat bottom with two lines going up right that then on the left makes a point like a triangle goes back up slightly shifts to a trapezoids end and goes down (moving to the right now) forming an outline of a triangles and ends with that line mentioned previously
","49","",""
"","56856","survey-text","5","2.0.0","177883","p97lbxy42mx","","","","{""image_description"":""middle right forms an outline of a triangle and goes down just a bit forming a pentagon side and goes flat down on the left theres a flat triangle goes up and makes angled shapes to finish\n""}","","","","","stimuli/42.jpg","easy","NaN","middle right forms an outline of a triangle and goes down just a bit forming a pentagon side and goes flat down on the left theres a flat triangle goes up and makes angled shapes to finish
","37","",""
"","15244","survey-text","6","2.0.0","193131","p97lbxy42mx","","","","{""image_description"":""this looks like a puzzle piece of some sort  ""}","","","","","stimuli/154.jpg","hard","NaN","this looks like a puzzle piece of some sort  ","9","",""
"","55562","survey-text","7","2.0.0","248697","p97lbxy42mx","","","","{""image_description"":""kind of looks like a bird you see the beak at the bottom right because it forms a triangle and going from the left the lines are forged with a mini divit and continues to go up forming another triangle shape and goes ""}","","","","","stimuli/114.jpg","hard","NaN","kind of looks like a bird you see the beak at the bottom right because it forms a triangle and going from the left the lines are forged with a mini divit and continues to go up forming another triangle shape and goes ","43","",""
"","14375","survey-text","8","2.0.0","263095","p97lbxy42mx","","","","{""image_description"":""almost a rectangle but more scribbles""}","","","","","stimuli/50.jpg","easy","NaN","almost a rectangle but more scribbles","6","",""
"","28515","survey-text","9","2.0.0","291615","p97lbxy42mx","","","","{""image_description"":""this kind of looks like the blue angels aircraft when you view it from bottom right to left\n""}","","","","","stimuli/66.jpg","medium","NaN","this kind of looks like the blue angels aircraft when you view it from bottom right to left
","18","",""
"","70988","survey-text","10","2.0.0","362608","p97lbxy42mx","","","","{""image_description"":""almost looks like a person with the two feet being on the right side one pointy part upper right and lower right looks like a peg  leg with the left going making a wide rectangle to act like the arm and when you go up it could be the head with a hat attached and on the right underdearth the shape looking like a sword is the shoulder/other arm""}","","","","","stimuli/146.jpg","hard","NaN","almost looks like a person with the two feet being on the right side one pointy part upper right and lower right looks like a peg  leg with the left going making a wide rectangle to act like the arm and when you go up it could be the head with a hat attached and on the right underdearth the shape looking like a sword is the shoulder/other arm","69","",""
"","18218","survey-text","11","2.0.0","380830","p97lbxy42mx","","","","{""image_description"":""almost looks like a trapezoid""}","","","","","stimuli/10.jpg","easy","NaN","almost looks like a trapezoid","5","",""
"","2897","survey-text","12","2.0.0","383731","p97lbxy42mx","","","","{""image_description"":""triangle""}","","","","","stimuli/2.jpg","easy","NaN","triangle","1","",""
"","42348","survey-text","13","2.0.0","426083","p97lbxy42mx","","","","{""image_description"":""outside piece makes a rhombus and it continues with a triangles bottom on the left and makes contorted lines moving to the right""}","","","","","stimuli/90.jpg","medium","NaN","outside piece makes a rhombus and it continues with a triangles bottom on the left and makes contorted lines moving to the right","23","",""
"","24841","survey-text","14","2.0.0","450927","p97lbxy42mx","","","","{""image_description"":""at the top there is an outside triang;e and it continues as the rest of the shape is a messed up triangles""}","","","","","stimuli/26.jpg","easy","NaN","at the top there is an outside triang;e and it continues as the rest of the shape is a messed up triangles","22","",""
"","47448","survey-text","15","2.0.0","498378","p97lbxy42mx","","","","{""image_description"":""idk""}","","","","","stimuli/138.jpg","hard","NaN","idk","1","",""
"","11420","survey-text","16","2.0.0","509802","p97lbxy42mx","","","","{""image_description"":""triangles and trapezoids""}","","","","","stimuli/106.jpg","medium","NaN","triangles and trapezoids","3","",""
"","23307","survey-text","17","2.0.0","533114","p97lbxy42mx","","","","{""image_description"":""another one with a lot of tipi points and an upside down triangle looking from top to bottom""}","","","","","stimuli/82.jpg","medium","NaN","another one with a lot of tipi points and an upside down triangle looking from top to bottom","18","",""
"","18526","survey-text","18","2.0.0","551643","p97lbxy42mx","","","","{""image_description"":""pentagon looks like a tumbled stop sign""}","","","","","stimuli/18.jpg","easy","NaN","pentagon looks like a tumbled stop sign","7","",""
"","35937","survey-text","19","2.0.0","587583","p97lbxy42mx","","","","{""image_description"":""an m is formed looking at the left because there are two cutouts that look like the tops of triangles and the bottom is said to be the same""}","","","","","stimuli/130.jpg","hard","NaN","an m is formed looking at the left because there are two cutouts that look like the tops of triangles and the bottom is said to be the same","29","",""
"","22135","survey-text","20","2.0.0","609723","p97lbxy42mx","","","","{""image_description"":""looks like a small hand comb with the left being the teeth""}","","","","","stimuli/74.jpg","medium","NaN","looks like a small hand comb with the left being the teeth","12","",""
"","6217","survey-text","21","2.0.0","615943","p97lbxy42mx","","","","{""image_description"":""looks like the letter T""}","","","","","stimuli/98.jpg","medium","NaN","looks like the letter T","5","",""
"","19228","survey-text","22","2.0.0","635175","p97lbxy42mx","","","","{""image_description"":""almost looks like a leg or lightning bolt with a heavier top and small shrunken bottom""}","","","","","stimuli/58.jpg","medium","NaN","almost looks like a leg or lightning bolt with a heavier top and small shrunken bottom","16","",""
"","17262","survey-text","23","2.0.0","652442","p97lbxy42mx","","","","{""image_description"":""looks like a mouse with a hat with the left being the ears and the top being the hat""}","","","","","stimuli/122.jpg","hard","NaN","looks like a mouse with a hat with the left being the ears and the top being the hat","19","",""
"","3102","survey-text","24","2.0.0","655566","p97lbxy42mx","","","","{""participant_major"":""CBN""}","","","","","","","","","","",""
"","1998","survey-multi-choice","25","2.2.0","657568","p97lbxy42mx","","","","{""participant_gender"":""Female""}","","","","","","","","","","[0]","[0]"
