"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","1541","fullscreen","0","null","2545","prr20aoqhqg","","","","","","","","","","","","","","",""
"","10103","html-keyboard-response","1","2.0.0","12651","prr20aoqhqg","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>","Enter","","","","","","","","","","",""
"","2662","survey-text","2","2.0.0","15326","prr20aoqhqg","","","","{""participant_id"":""goose""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","15669","prr20aoqhqg","","","","","false","[]","[]","[]","","","","","","",""
"","160380","survey-text","4","2.0.0","176074","prr20aoqhqg","","","","{""image_description"":""looks like a hole in a piece of paper,\nhas a lot of jagged edges ""}","","","","","stimuli/89.jpg","medium","NaN","looks like a hole in a piece of paper,
has a lot of jagged edges ","15","",""
"","84246","survey-text","5","2.0.0","260344","prr20aoqhqg","","","","{""image_description"":""Looks like a shoulder piece from a set of armor. Has a very big triangle shape sticking out of the left half of a trapezoid base  ""}","","","","","stimuli/25.jpg","easy","NaN","Looks like a shoulder piece from a set of armor. Has a very big triangle shape sticking out of the left half of a trapezoid base  ","26","",""
"","201810","survey-text","6","2.0.0","462173","prr20aoqhqg","","","","{""image_description"":""Looks like a combination of a 2 rhombuses, a rectangle, 2 trapezoids, and one triangle\nthe rhombus is on top, the trapezoid shares 80% of a side with the rhombus and has a rectangle sticking out of it on the left side.\nUnder the rhombus-trapezoid-rectangle complex, is another trapezoid that has a triangle sticking out of the right side and a rhombus on the left.""}","","","","","stimuli/105.jpg","medium","NaN","Looks like a combination of a 2 rhombuses, a rectangle, 2 trapezoids, and one triangle
the rhombus is on top, the trapezoid shares 80% of a side with the rhombus and has a rectangle sticking out of it on the left side.
Under the rhombus-trapezoid-rectangle complex, is another trapezoid that has a triangle sticking out of the right side and a rhombus on the left.","65","",""
"","43484","survey-text","7","2.0.0","505674","prr20aoqhqg","","","","{""image_description"":""Looks like an animal. similar to a not-shaped origami moose. ""}","","","","","stimuli/97.jpg","medium","NaN","Looks like an animal. similar to a not-shaped origami moose. ","10","",""
"","42299","survey-text","8","2.0.0","547990","prr20aoqhqg","","","","{""image_description"":""Looks like a pentagon with a triangle sticking out of the bottom right. ""}","","","","","stimuli/33.jpg","easy","NaN","Looks like a pentagon with a triangle sticking out of the bottom right. ","13","",""
"","144850","survey-text","9","2.0.0","692862","prr20aoqhqg","","","","{""image_description"":""H shaped thing\nThe left side of the H looks like a floor plan of a building. A triangle on top of a square with a triangle cut out of the bottom. \nThe right side of the H has a rectangle on the top and a rhombus thingy on the bottom.\nThe -- connecting the two sticks of the H is a fat rectangle ""}","","","","","stimuli/121.jpg","hard","NaN","H shaped thing
The left side of the H looks like a floor plan of a building. A triangle on top of a square with a triangle cut out of the bottom. 
The right side of the H has a rectangle on the top and a rhombus thingy on the bottom.
The -- connecting the two sticks of the H is a fat rectangle ","64","",""
