"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","2653","fullscreen","0","null","3657","p35wkqwct3u","","","","","","","","","","","","","","",""
"","11153","html-keyboard-response","1","2.0.0","14811","p35wkqwct3u","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","2847","survey-text","2","2.0.0","17665","p35wkqwct3u","","","","{""participant_id"":""hedgehog""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","17762","p35wkqwct3u","","","","","false","[]","[]","[]","","","","","","",""
"","243427","survey-text","4","2.0.0","261192","p35wkqwct3u","","","","{""image_description"":""A shape with 30 sides, has lots of concave and convex angles, it is very abstract. It  has a main body, with small triangles taken out of the top, right, and bottom sides, and what looks like a small, vertical rectangle coming out of the bottom right corner. There is a dog-like silhouette shape that is cut out from upper left corner. It is the shape of the side profile of a dog landing after jumping through a hoop, i.e. facing slightly downwards with the front legs extended below it. The dog has small triangular ears. The cut out is only the first half of the dog. ""}","","","","","stimuli/150.jpg","hard","NaN","A shape with 30 sides, has lots of concave and convex angles, it is very abstract. It  has a main body, with small triangles taken out of the top, right, and bottom sides, and what looks like a small, vertical rectangle coming out of the bottom right corner. There is a dog-like silhouette shape that is cut out from upper left corner. It is the shape of the side profile of a dog landing after jumping through a hoop, i.e. facing slightly downwards with the front legs extended below it. The dog has small triangular ears. The cut out is only the first half of the dog. ","107","",""
"","875064","survey-text","5","2.0.0","1136251","p35wkqwct3u","","","","{""image_description"":""A square if you cut out a bunch of shapes from it. From the bottom left corner, cut off a small 30-60-90 triangle, with the long side corresponding to the right side. Next to that cut out, cut out a trapezoid, where the bottom left of the trapezoid is right next to the bottom right of the previously cut out triangle. The trapezoid will be tall, with the parallel sides being vertical, with a slight right lean.  The long side (base) of the trapezoid extends from next to the first cut triangle up to the halfway point of the square. It should end to the left of the absolute middle of the square. The slanted side of the trapezoid extends back down south east, ending at the same height as the first cut triangle. Extend the next line parallel to the first side of the trapezoid all the way to the bottom. Then cut out a short, obtuse triangle directly to the right of the trapezoid, with the long side corresponding to the bottom edge of the square. This triangle should be the remaining bottom length of the square, and should come up below the top point of the first triangle. From the right side of the square, cut out two small rectangles at around the midline. From the top, split the cut outs to the left and right sides. From the left side, the top corner is cut off. From the right side, a large right triangle is cut out, another 30-60-90, with the hypotenuse being the top side, and the long side extending from the middle of the top side, south east, to meet the short side that starts at the right top corner of the square. From the middle of the long, adjacent side of that 30-60-90 triangle, cut a small obtuse triangle out of the center of the square, where one of the corners overlaps with the cutout of the 30-60-90 triangle. Overall, the shape is vaguely birdlike. ""}","","","","","stimuli/158.jpg","hard","NaN","A square if you cut out a bunch of shapes from it. From the bottom left corner, cut off a small 30-60-90 triangle, with the long side corresponding to the right side. Next to that cut out, cut out a trapezoid, where the bottom left of the trapezoid is right next to the bottom right of the previously cut out triangle. The trapezoid will be tall, with the parallel sides being vertical, with a slight right lean.  The long side (base) of the trapezoid extends from next to the first cut triangle up to the halfway point of the square. It should end to the left of the absolute middle of the square. The slanted side of the trapezoid extends back down south east, ending at the same height as the first cut triangle. Extend the next line parallel to the first side of the trapezoid all the way to the bottom. Then cut out a short, obtuse triangle directly to the right of the trapezoid, with the long side corresponding to the bottom edge of the square. This triangle should be the remaining bottom length of the square, and should come up below the top point of the first triangle. From the right side of the square, cut out two small rectangles at around the midline. From the top, split the cut outs to the left and right sides. From the left side, the top corner is cut off. From the right side, a large right triangle is cut out, another 30-60-90, with the hypotenuse being the top side, and the long side extending from the middle of the top side, south east, to meet the short side that starts at the right top corner of the square. From the middle of the long, adjacent side of that 30-60-90 triangle, cut a small obtuse triangle out of the center of the square, where one of the corners overlaps with the cutout of the 30-60-90 triangle. Overall, the shape is vaguely birdlike. ","332","",""
"","79343","survey-text","6","2.0.0","1215597","p35wkqwct3u","","","","{""image_description"":""The shape looks like the head of a wrench that has the opening facing to the left. There are six faces on the inside of the \""wrench\"". Extending from the top of the wrench is a triangle that makes it look like the wrench has a crest/horn. ""}","","","","","stimuli/102.jpg","medium","NaN","The shape looks like the head of a wrench that has the opening facing to the left. There are six faces on the inside of the ""wrench"". Extending from the top of the wrench is a triangle that makes it look like the wrench has a crest/horn. ","47","",""
"","221076","survey-text","7","2.0.0","1436673","p35wkqwct3u","","","","{""image_description"":""This shape looks like a lopsided heart made with straight lines. The right side of the heart is skinnier, and the bottom edge follows a south-west trajectory that extends past the midline of the heart (thus lopsided heart that is leaning right). The left side of the heart is fatter and has a small knob that extends off the top of the left side. There is a left-facing hook on the bottom. It's pretty sharp and skinny with the end being a skinny triangle that extends past the left edge of the heart. ""}","","","","","stimuli/70.jpg","medium","NaN","This shape looks like a lopsided heart made with straight lines. The right side of the heart is skinnier, and the bottom edge follows a south-west trajectory that extends past the midline of the heart (thus lopsided heart that is leaning right). The left side of the heart is fatter and has a small knob that extends off the top of the left side. There is a left-facing hook on the bottom. It's pretty sharp and skinny with the end being a skinny triangle that extends past the left edge of the heart. ","93","",""
"","192300","survey-text","8","2.0.0","1628974","p35wkqwct3u","","","","{""image_description"":""quadrilateral. the top side is perfectly horizontal. The right side extends down at a 92 degree angle and is about 1.5 times the length of the top side. The bottom side makes a 45 degree angle with the right side and extends in the north west direction, ending slightly past the vertical of the top line (more left than the leftmost point of the top line) The last line connects the top and bottom line, it is a small line extending in the North-north-east direction. ""}","","","","","stimuli/6.jpg","easy","NaN","quadrilateral. the top side is perfectly horizontal. The right side extends down at a 92 degree angle and is about 1.5 times the length of the top side. The bottom side makes a 45 degree angle with the right side and extends in the north west direction, ending slightly past the vertical of the top line (more left than the leftmost point of the top line) The last line connects the top and bottom line, it is a small line extending in the North-north-east direction. ","85","",""
"","325026","survey-text","9","2.0.0","1954000","p35wkqwct3u","","","","{""image_description"":""Looks like a crude, poly outline of Bluey from that one TV show with angel wings. If  Bluey's bottom half/legs were just one rectangle. Bluey is facing to the left, so the corresponding rectangle is on the left side. The wings extend from halfway down the right side of the body, and is made of two shapes, an equilateral triangle and a diamond. One point of the equilateral triangle is intersecting with Bluey's rectangular body. The triangle is also slightly rotated to the right, so the next point on the triangle would point to the top right. This triangle point is cut off, like the top of the pyramid on the one-dollar bill. The last point of the triangle (the bottom-most one) is where the skinny diamond intersects, such that it's almost vertical, with a skinny end pointing towards the ground.""}","","","","","stimuli/110.jpg","hard","NaN","Looks like a crude, poly outline of Bluey from that one TV show with angel wings. If  Bluey's bottom half/legs were just one rectangle. Bluey is facing to the left, so the corresponding rectangle is on the left side. The wings extend from halfway down the right side of the body, and is made of two shapes, an equilateral triangle and a diamond. One point of the equilateral triangle is intersecting with Bluey's rectangular body. The triangle is also slightly rotated to the right, so the next point on the triangle would point to the top right. This triangle point is cut off, like the top of the pyramid on the one-dollar bill. The last point of the triangle (the bottom-most one) is where the skinny diamond intersects, such that it's almost vertical, with a skinny end pointing towards the ground.","141","",""
