"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","3765","fullscreen","0","null","4787","pr3s8uyrb03","","","","","","","","","","","","","","",""
"","21288","html-keyboard-response","1","2.0.0","26078","pr3s8uyrb03","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","3718","survey-text","2","2.0.0","29874","pr3s8uyrb03","","","","{""participant_id"":""zebra""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","30236","pr3s8uyrb03","","","","","false","[]","[]","[]","","","","","","",""
"","17100","survey-text","4","2.0.0","47342","pr3s8uyrb03","","","","{""image_description"":""badly drawn triangle""}","","","","","stimuli/21.jpg","easy","NaN","badly drawn triangle","3","",""
"","37300","survey-text","5","2.0.0","84649","pr3s8uyrb03","","","","{""image_description"":""triangle with tip down on top on a rectangle (horizontal) with a jagged bottom""}","","","","","stimuli/109.jpg","hard","NaN","triangle with tip down on top on a rectangle (horizontal) with a jagged bottom","14","",""
"","151346","survey-text","6","2.0.0","236001","pr3s8uyrb03","","","","{""image_description"":""roughly a triangle tip slightly diangonally left leaning. There is a little triangle tip down at the 12 oclock position touching the large triangle. On hte left most side of the large triangle is a wide cutout in the shape of a house silouette if drawn by a kid. this house cutout is perfectly perpendicular to the rightmost side of the triangle""}","","","","","stimuli/149.jpg","hard","NaN","roughly a triangle tip slightly diangonally left leaning. There is a little triangle tip down at the 12 oclock position touching the large triangle. On hte left most side of the large triangle is a wide cutout in the shape of a house silouette if drawn by a kid. this house cutout is perfectly perpendicular to the rightmost side of the triangle","62","",""
"","178707","survey-text","7","2.0.0","414707","pr3s8uyrb03","","","","{""image_description"":""looks like a bird on a rock. The rock is a rectangle shape. the bird is on the right most part of the rectangle and hangs off the right side. the bird shape is roughly a parallelogram for the legs. an upsidedown triangle for the head and a not quite rectangle for the body and wings. the wing portion reaches the top height of the head""}","","","","","stimuli/125.jpg","hard","NaN","looks like a bird on a rock. The rock is a rectangle shape. the bird is on the right most part of the rectangle and hangs off the right side. the bird shape is roughly a parallelogram for the legs. an upsidedown triangle for the head and a not quite rectangle for the body and wings. the wing portion reaches the top height of the head","66","",""
"","32798","survey-text","8","2.0.0","447512","pr3s8uyrb03","","","","{""image_description"":""fat drunken triton with a stubby bottom. leans to the left""}","","","","","stimuli/53.jpg","easy","NaN","fat drunken triton with a stubby bottom. leans to the left","11","",""
"","36812","survey-text","9","2.0.0","484330","pr3s8uyrb03","","","","{""image_description"":""a square with jagged cutouts aroudn the edges, mostly triangles. no cutouts on right side""}","","","","","stimuli/133.jpg","hard","NaN","a square with jagged cutouts aroudn the edges, mostly triangles. no cutouts on right side","15","",""
