success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,participant_gender,stimulus,response,timeout,failed_images,failed_audio,failed_video,figure,difficulty,response_time_seconds,text_response,word_count,response_index,question_order,file_name
TRUE,1235,fullscreen,0,null,2239,p09z5qk6x27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,13634,html-keyboard-response,1,2.0.0,15876,p09z5qk6x27,NA,NA,"
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,2395,survey-text,2,2.0.0,18274,p09z5qk6x27,NA,NA,NA,"{""participant_id"":""lynx""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
TRUE,NA,preload,3,2.0.0,18572,p09z5qk6x27,NA,NA,NA,NA,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,74162,survey-text,4,2.0.0,92742,p09z5qk6x27,NA,NA,NA,"{""image_description"":""sharp and uneven ""}",NA,NA,NA,NA,stimuli/114.jpg,hard,NA,sharp and uneven,3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,82838,survey-text,5,2.0.0,175586,p09z5qk6x27,NA,NA,NA,"{""image_description"":""sort of symmetrical, sort of sharp and pointy with some flat edges""}",NA,NA,NA,NA,stimuli/82.jpg,medium,NA,"sort of symmetrical, sort of sharp and pointy with some flat edges",12,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,85431,survey-text,6,2.0.0,261021,p09z5qk6x27,NA,NA,NA,"{""image_description"":""flat edges kinda boring lowkey no personality""}",NA,NA,NA,NA,stimuli/58.jpg,medium,NA,flat edges kinda boring lowkey no personality,7,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,48393,survey-text,7,2.0.0,309419,p09z5qk6x27,NA,NA,NA,"{""image_description"":""even and square-like, kind of looks like a trapezoid,4 clear sides""}",NA,NA,NA,NA,stimuli/10.jpg,easy,NA,"even and square-like, kind of looks like a trapezoid,4 clear sides",11,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,68748,survey-text,8,2.0.0,378174,p09z5qk6x27,NA,NA,NA,"{""image_description"":""one side has more points and sharper edges and the other side has less""}",NA,NA,NA,NA,stimuli/66.jpg,medium,NA,one side has more points and sharper edges and the other side has less,14,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,129373,survey-text,9,2.0.0,507556,p09z5qk6x27,NA,NA,NA,"{""image_description"":""uneven but not sharp, looks like it has some arms or branches sticking out from it\n""}",NA,NA,NA,NA,stimuli/122.jpg,hard,NA,"uneven but not sharp, looks like it has some arms or branches sticking out from it
",16,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
